,ERR1329825,ERR1329829,ERR1329846,ERR1329853,ERR1329857,ERR1329862,ERR1329870,ERR1329842,ERR1329834
ERR1329825,,0.735849057,0.872340426,0.928571429,0.833333333,0.8,0.8,0.694915254,0.860465116
ERR1329829,0.735849057,,0.75862069,0.846153846,0.659574468,0.658536585,0.770491803,0.685714286,0.592592593
ERR1329846,0.872340426,0.75862069,,0.818181818,0.804878049,0.828571429,0.636363636,0.84375,0.75
ERR1329853,0.928571429,0.846153846,0.818181818,,0.727272727,0.75,0.833333333,1,0.862068966
ERR1329857,0.833333333,0.659574468,0.804878049,0.727272727,,0.75,0.681818182,0.773584906,0.675675676
ERR1329862,0.8,0.658536585,0.828571429,0.75,0.75,,0.631578947,0.829787234,0.741935484
ERR1329870,0.8,0.770491803,0.636363636,0.833333333,0.681818182,0.631578947,,0.791044776,0.725490196
ERR1329842,0.694915254,0.685714286,0.84375,1,0.773584906,0.829787234,0.791044776,,0.733333333
ERR1329834,0.860465116,0.592592593,0.75,0.862068966,0.675675676,0.741935484,0.725490196,0.733333333,
