,ERR1329827,ERR1329851,ERR1329832,ERR1329830,ERR1329836,ERR1329838
ERR1329827,,0.7358490566037735,0.8846153846153846,0.7837837837837838,0.8333333333333334,0.8823529411764706
ERR1329851,0.7358490566037735,,0.8490566037735849,0.84,0.8367346938775511,0.8857142857142857
ERR1329832,0.8846153846153846,0.8490566037735849,,0.6756756756756757,0.5833333333333334,0.7647058823529411
ERR1329830,0.7837837837837838,0.84,0.6756756756756757,,0.6571428571428571,0.7857142857142857
ERR1329836,0.8333333333333334,0.8367346938775511,0.5833333333333334,0.6571428571428571,,0.6
ERR1329838,0.8823529411764706,0.8857142857142857,0.7647058823529411,0.7857142857142857,0.6,
